vague,"неопределенный;расплывчатый;неясный"
in a nutshell,"в двух словах;вкратце;кратко"
cunning,"хитрый;коварный;ловкий;хитрость;ловкость;остроумие"
asterisk,звездочка
flawless,безупречный
to be stoked,быть в восторге
to assemble,"собирать;собираться"
to comprise,содержать;включать;охватывать
unanimous,"единогласный;единодушный"
to goof off,бездельничать
gloomy,мрачный;угрюмый;хмурый;сумрачный;темный;унылый;печальный
annual,"ежегодный;годовой;однолетний"
to afford,"позволить себе;предоставлять;иметь возможность"
to abuse,"злоупотреблять;ругать;плохо обращаться"
inevitable,"неизбежный;неминуемый"
come across,столкнуться с ч.-л. (трудностями)
as a matter of fact,по сути дела
meanwhile,"между тем;тем временем"
to air your views,"поделиться своими взглядами;выразить свое мнение."
pace,"темп;скорость;шаг"
deteriorate,"ухудшать;ухудшаться"
accurately,"точно;правильно;тщательно"
at,@
single quote,одиночная ковычка
to recap,"резюмировать;конспектировать;перечислять"
to dread,"бояться;страшиться;опасаться"
backward slash,\
treatment,"лечение;обработка
nevertheless,"тем не менее;однако;несмотря на это"
abuse,"злоупотребление;ругань;плохое обращение"
sustainable,поддерживаемый
apprehension,опасение; мрачное предчувствие; понимание; задержание; арест
simultaneous,одновременный
rapport,связь;взаимопонимание;взаимоотношения
dread,"страх;боязнь;опасения"
transparent,"прозрачный;понятный;ясный"
clay,"глина;глинозем;ил"
smoothly,плавно
diversity,"разнообразие;многообразие"
subsequent,последующий
to fuss,"суетиться;волноваться из-за пустяков"
rigid,"жесткий;твердый;неподвижный;строгий"
to strive (to;for),"прилагать усилия;бороться;стараться"
strained,"напряженный;натянутый"
dry-run,прогон;репетиция
to disclose,"раскрывать;вскрывать;разоблачать;обнаруживать"
bother,"беспокоить;беспокоиться;надоедать"
poison,яд
mitigate,"смягчать;уменьшать;облегчать"
thorough,"тщательный;полный;подробный;основательный"
surefire,"верный;безошибочный;надежный"
rationale,обоснование
disparate,несоизмеримый;в корне отличный;несопоставимый
mutter,бормотание
underscore,подчеркивание
desperation,безрассудство;отчаяние;безумие
to contribute (to),"делать вклад;способствовать;содействовать"
to persuade,убеждать
to bloat,раздуваться
adverse,неблагоприятный;враждебный;вредный
essential,"существенный;основной;необходимый"
persuasive,убедительный
enhancement,"усиление;улучшение;усовершенствование"
to insist (on),настоять;настаивать;утверждать
to compel,"принуждать;заставлять;вынуждать"
to foster,поощрять;воспитывать;благоприятствовать
ambiguity,неоднозначность
inextricably,неразрывно
pal,"приятель;дружок;товарищ;собутыльник"
to obtain,"получать;приобретать;добиваться"
big cheese,босс
scruffy,грязный;неряшливый
to dispute,"оспаривать;спорить;дискутировать"
to sacrifice,жертвовать
dishonest,"нечестный;мошеннический"
to point out,"указывать;показывать;обращать внимание"
prerequisite,предпосылка
to neglect,"пренебрегать;упускать;не обращать внимания"
suspicious,подозрительный
quotation marks,кавычки""
to anticipate,"предвидеть;ожидать;предвосхищать;опережать;предупреждать;предчувствовать"
